index, name, zvalue, xvalue, yvalue 
0, Cell_0001.png, 0.98, 0.37, 0.44 
1, Cell_0002.png, 0.98, 0.61, 0.77 
2, Cell_0003.png, 0.99, 0.81, 0.53 
3, Cell_0004.png, 0.98, 0.41, 0.13 
4, Cell_0005.png, 0.98, 0.38, 0.93 
5, Cell_0006.png, 0.97, 0.70, 0.40 
6, Cell_0007.png, 0.98, 0.77, 0.39 
7, Cell_0008.png, 1.00, 0.03, 0.05 
8, Cell_0009.png, 0.99, 0.90, 0.20 
9, Cell_0010.png, 0.98, 0.52, 0.87 
10, Cell_0011.png, 0.99, 0.47, 0.41 
11, Cell_0012.png, 0.98, 0.81, 0.74 
12, Cell_0013.png, 0.99, 0.09, 0.05 
13, Cell_0014.png, 0.98, 0.16, 0.50 
14, Cell_0015.png, 0.99, 0.55, 0.55 
15, Cell_0016.png, 0.99, 0.82, 0.24 
16, Cell_0017.png, 0.98, 0.24, 0.12 
17, Cell_0018.png, 0.98, 0.56, 0.70 
18, Cell_0019.png, 0.98, 0.38, 0.27 
19, Cell_0020.png, 0.98, 0.76, 0.09 
20, Cell_0021.png, 0.98, 0.30, 0.81 
21, Cell_0022.png, 0.99, 0.62, 0.58 
22, Cell_0023.png, 1.00, 0.04, 0.21 
23, Cell_0024.png, 0.98, 0.13, 0.18 
24, Cell_0025.png, 0.98, 0.71, 0.73 
25, Cell_0026.png, 0.99, 0.99, 0.51 
26, Cell_0027.png, 0.99, 0.30, 0.33 
27, Cell_0028.png, 0.98, 0.22, 0.76 
28, Cell_0029.png, 0.99, 0.98, 0.23 
29, Cell_0030.png, 0.98, 0.55, 0.41 
30, Cell_0031.png, 0.98, 0.85, 0.12 
31, Cell_0032.png, 0.98, 0.57, 0.95 
32, Cell_0033.png, 0.98, 0.92, 0.87 
33, Cell_0034.png, 0.98, 0.14, 0.82 
34, Cell_0035.png, 0.97, 0.59, 0.10 
35, Cell_0036.png, 0.98, 0.90, 0.55 
36, Cell_0037.png, 0.36, 0.96, 0.37 
37, Cell_0038.png, 0.30, 0.29, 0.51 
38, Cell_0039.png, 0.35, 0.20, 0.63 
39, Cell_0040.png, 0.29, 0.51, 0.40 
40, Cell_0041.png, 0.32, 0.15, 0.85 
41, Cell_0042.png, 0.30, 0.87, 0.79 
42, Cell_0043.png, 0.30, 0.08, 0.12 
43, Cell_0044.png, 0.30, 0.69, 0.08 
44, Cell_0045.png, 0.30, 0.58, 0.65 
45, Cell_0046.png, 0.27, 0.37, 0.02 
46, Cell_0047.png, 0.38, 0.70, 0.34 
47, Cell_0048.png, 0.32, 0.40, 0.56 
48, Cell_0049.png, 0.32, 0.36, 0.78 
49, Cell_0050.png, 0.31, 0.40, 0.20 
50, Cell_0051.png, 0.31, 0.84, 0.43 
51, Cell_0052.png, 0.29, 0.56, 0.03 
52, Cell_0053.png, 0.32, 0.62, 0.18 
53, Cell_0054.png, 0.25, 0.58, 0.87 
54, Cell_0055.png, 0.30, 0.88, 0.07 
55, Cell_0056.png, 0.30, 0.10, 0.66 
56, Cell_0057.png, 0.36, 0.10, 0.32 
57, Cell_0058.png, 0.30, 0.46, 0.56 
58, Cell_0059.png, 0.27, 0.81, 0.29 
59, Cell_0060.png, 0.33, 0.73, 0.41 
60, Cell_0061.png, 0.23, 0.52, 0.71 
61, Cell_0062.png, 0.30, 0.39, 0.09 
62, Cell_0063.png, 0.26, 0.89, 0.59 
63, Cell_0064.png, 0.32, 0.83, 0.54 
64, Cell_0065.png, 0.31, 0.56, 0.48 
65, Cell_0066.png, 0.31, 0.55, 0.73 
66, Cell_0067.png, 0.35, 0.94, 0.27 
67, Cell_0068.png, 0.33, 0.22, 0.49 
68, Cell_0069.png, 0.35, 0.32, 0.38 
69, Cell_0070.png, 0.35, 0.67, 0.39 
70, Cell_0071.png, 0.34, 0.46, 0.24 
71, Cell_0072.png, 0.30, 0.61, 0.32 
72, Cell_0073.png, 0.33, 0.40, 0.07 
73, Cell_0074.png, 0.26, 0.68, 0.58 
74, Cell_0075.png, 0.31, 0.11, 0.59 
75, Cell_0076.png, 0.34, 0.55, 0.17 
76, Cell_0077.png, 0.32, 0.24, 0.68 
77, Cell_0078.png, 0.28, 0.35, 0.09 
78, Cell_0079.png, 0.27, 0.39, 0.44 
79, Cell_0080.png, 0.27, 0.61, 0.68 
80, Cell_0081.png, 0.34, 0.39, 0.27 
81, Cell_0082.png, 0.32, 0.91, 0.04 
82, Cell_0083.png, 0.29, 0.32, 0.56 
83, Cell_0084.png, 0.35, 0.38, 0.90 
84, Cell_0085.png, 0.28, 0.16, 0.05 
85, Cell_0086.png, 0.39, 0.67, 0.39 
86, Cell_0087.png, 0.29, 0.47, 0.62 
87, Cell_0088.png, 0.29, 0.72, 0.66 
88, Cell_0089.png, 0.41, 0.30, 0.64 
89, Cell_0090.png, 0.29, 0.79, 0.78 
90, Cell_0091.png, 0.29, 0.92, 0.54 
91, Cell_0092.png, 0.35, 0.18, 0.80 
92, Cell_0093.png, 0.39, 0.53, 0.71 
93, Cell_0094.png, 0.33, 0.38, 0.35 
94, Cell_0095.png, 0.31, 0.70, 0.31 
95, Cell_0096.png, 0.33, 0.91, 0.61 
96, Cell_0097.png, 0.33, 0.61, 0.39 
97, Cell_0098.png, 0.31, 0.74, 0.83 
98, Cell_0099.png, 0.30, 0.25, 0.20 
99, Cell_0100.png, 0.33, 0.64, 0.55 
100, Cell_0101.png, 0.33, 0.32, 0.58 
101, Cell_0102.png, 0.36, 0.95, 0.13 
102, Cell_0103.png, 0.37, 0.11, 0.61 
103, Cell_0104.png, 0.43, 0.06, 0.44 
104, Cell_0105.png, 0.37, 0.42, 0.35 
105, Cell_0106.png, 0.35, 0.36, 0.07 
106, Cell_0107.png, 0.36, 0.55, 0.08 
107, Cell_0108.png, 0.32, 0.29, 0.86 
108, Cell_0109.png, 0.34, 0.25, 0.32 
109, Cell_0110.png, 0.33, 0.05, 0.06 
110, Cell_0111.png, 0.39, 0.92, 0.65 
111, Cell_0112.png, 0.41, 0.78, 0.05 
112, Cell_0113.png, 0.42, 0.55, 0.44 
113, Cell_0114.png, 0.39, 0.33, 0.60 
114, Cell_0115.png, 0.39, 0.70, 0.80 
115, Cell_0116.png, 0.42, 0.94, 0.47 
116, Cell_0117.png, 0.39, 0.55, 0.17 
117, Cell_0118.png, 0.32, 0.75, 0.34 
118, Cell_0119.png, 0.32, 0.39, 0.71 
119, Cell_0120.png, 0.36, 0.37, 0.53 
120, Cell_0121.png, 0.32, 0.26, 0.59 
121, Cell_0122.png, 0.31, 0.60, 0.90 
122, Cell_0123.png, 0.35, 0.47, 0.52 
123, Cell_0124.png, 0.34, 0.06, 0.17 
124, Cell_0125.png, 0.34, 0.60, 0.48 
125, Cell_0126.png, 0.35, 0.07, 0.56 
126, Cell_0127.png, 0.34, 0.33, 0.46 
127, Cell_0128.png, 0.35, 0.05, 0.25 
